Frame,Frame Time,YMIN,YLOW,YAVG,YHIGH,YMAX,UMIN,ULOW,UAVG,UHIGH,UMAX,VMIN,VLOW,VAVG,VHIGH,VMAX,VDIF,UDIF,YDIF,SATMIN,SATLOW,SATAVG,SATHIGH,SATMAX,HUEMED,HUEAVG,TOUT,VREP,BRNG,VBITDEPTH,UBITDEPTH,YBITDEPTH,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
86,2.8361695,4,132,309.48,607,933,418,497,505.321,512,570,478,499,507.798,514,556,3.31867,4.81433,12.5994,0,2,9.42573,20,99,71,90.2917,0.022399,0,0.015361,10,10,10,18.037746,39.895428,3087.910156,47.635689,44.188282,25.300865,1558.438477,28.270617
87,2.8695362,4,132,309.334,607,938,416,497,505.235,512,534,478,500,508.16,514,550,3.33489,4.85375,10.6782,0,2,9.289,20,100,73,92.3145,0.02296,0,0.015418,10,10,10,18.516895,42.220783,3297.773682,47.521832,43.942249,25.015305,1664.071289,27.985794
88,2.9029029,4,0,308.067,605,938,414,496,504.877,512,575,478,500,508.103,514,551,3.3199,4.91083,10.4616,0,2,9.56381,20,104,72,90.0626,0.023411,0,0.015409,10,10,10,18.697165,42.193691,3291.158447,47.479755,43.945038,25.024025,1660.80188,27.994335
89,2.9362696,4,131,307.839,605,936,419,496,504.898,512,533,469,500,508.04,514,550,3.31552,4.91122,9.38897,0,2,9.55072,20,98,71,89.6865,0.023188,0,0.015401,10,10,10,18.148319,41.551956,3100.456543,47.60915,44.011597,25.283257,1565.15332,28.251944
90,2.9696363,4,130,308.663,607,932,420,496,504.813,512,529,470,500,507.984,514,546,3.32004,4.89814,9.70247,0,2,9.66224,20,95,71,89.5006,0.023491,0,0.015446,10,10,10,18.114815,42.225021,2791.935303,47.617172,43.941814,25.738459,1411.052612,28.70208
91,3.003003,4,131,309.008,607,932,419,496,504.813,512,534,478,500,507.997,514,548,3.2629,4.81273,9.74108,0,2,9.65205,21,98,71,89.1756,0.024146,0,0.015449,10,10,10,18.746056,43.343643,2750.51123,47.468414,43.828259,25.803379,1390.778076,28.764935
92,3.0363697,4,0,308.49,967,937,416,496,504.723,512,542,479,500,508.134,514,548,3.28367,4.77478,11.0908,0,2,9.62965,20,102,71,89.6759,0.023774,0,0.015429,10,10,10,19.096479,42.207592,2768.34375,47.387981,43.943607,25.775312,1399.497925,28.737791
93,3.0697364,4,132,309.173,607,931,418,496,504.351,512,536,478,500,508.008,514,552,3.30704,4.87539,12.1847,0,2,9.96117,21,99,71,87.6849,0.024343,0,0.015566,10,10,10,18.315454,44.924587,3612.788574,47.569336,43.672672,24.619087,1822.204224,27.591541
94,3.1031031,4,132,310.249,609,938,424,495,504.374,512,592,478,500,508.068,514,552,3.34327,4.97299,10.9559,0,2,9.9616,21,92,71,89.509,0.023897,0,0.015532,10,10,10,18.458139,48.026909,3663.131104,47.535633,43.382668,24.558989,1848.186768,27.530054
95,3.1364698,4,31,310.497,610,930,424,496,504.598,512,536,478,500,508.064,514,549,3.27914,4.882,10.1416,0,2,9.78679,21,94,72,89.808,0.024303,0,0.015515,10,10,10,18.380487,45.17947,3114.860107,47.553944,43.648102,25.263128,1573.319946,28.229342
