Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0043_01_a,p0386_grea_b01_f02_0043_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0044_01_a,p0386_grea_b01_f02_0044_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0045_01_a,p0386_grea_b01_f02_0045_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0046_01_a,p0386_grea_b01_f02_0046_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0047_01_a,p0386_grea_b01_f02_0047_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0048_01_a,p0386_grea_b01_f02_0048_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0049_01_a,p0386_grea_b01_f02_0049_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0050_01_a,p0386_grea_b01_f02_0050_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0051_01_a,p0386_grea_b01_f02_0051_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0052_01_a,p0386_grea_b01_f02_0052_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0053_01_a,p0386_grea_b01_f02_0053_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0054_01_a,p0386_grea_b01_f02_0054_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0055_01_a,p0386_grea_b01_f02_0055_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0056_01_a,p0386_grea_b01_f02_0056_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0057_01_a,p0386_grea_b01_f02_0057_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0058_01_a,p0386_grea_b01_f02_0058_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0059_01_a,p0386_grea_b01_f02_0059_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0060_01_a,p0386_grea_b01_f02_0060_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0061_01_a,p0386_grea_b01_f02_0061_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0062_01_a,p0386_grea_b01_f02_0062_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0063_01_a,p0386_grea_b01_f02_0063_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0064_01_a,p0386_grea_b01_f02_0064_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0065_01_a,p0386_grea_b01_f02_0065_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0066_01_a,p0386_grea_b01_f02_0066_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0067_01_a,p0386_grea_b01_f02_0067_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0068_01_a,p0386_grea_b01_f02_0068_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0069_01_a,p0386_grea_b01_f02_0069_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0070_01_a,p0386_grea_b01_f02_0070_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0071_01_a,p0386_grea_b01_f02_0071_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0072_01_a,p0386_grea_b01_f02_0072_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0073_01_a,p0386_grea_b01_f02_0073_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0074_01_a,p0386_grea_b01_f02_0074_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0075_01_a,p0386_grea_b01_f02_0075_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0076_01_a,p0386_grea_b01_f02_0076_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0077_01_a,p0386_grea_b01_f02_0077_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0078_01_a,p0386_grea_b01_f02_0078_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0079_01_a,p0386_grea_b01_f02_0079_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0080_01_a,p0386_grea_b01_f02_0080_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0081_01_a,p0386_grea_b01_f02_0081_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0082_01_a,p0386_grea_b01_f02_0082_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0083_01_a,p0386_grea_b01_f02_0083_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0084_01_a,p0386_grea_b01_f02_0084_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0085_01_a,p0386_grea_b01_f02_0085_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0086_01_a,p0386_grea_b01_f02_0086_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0087_01_a,p0386_grea_b01_f02_0087_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0088_01_a,p0386_grea_b01_f02_0088_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0089_01_a,p0386_grea_b01_f02_0089_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0090_01_a,p0386_grea_b01_f02_0090_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0091_01_a,p0386_grea_b01_f02_0091_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0092_01_a,p0386_grea_b01_f02_0092_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0093_01_a,p0386_grea_b01_f02_0093_01_a.tif,,,,,01,02,,,,p0386,,,,,
,,,A,IMAGE,p0386_grea_b01_f02,p0386_grea_b01_f02_0094_01_a,p0386_grea_b01_f02_0094_01_a.tif,,,,,01,02,,,,p0386,,,,,
