Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
5,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0005_01_a,p0386_grea_b1_f1_0005_01_a.tif,,,,,1,1,,,,p0386,,,,,
5,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0005_01_a,p0386_grea_b1_f1_0005_01_a.tif,,,,,1,1,,,,p0386,,,,,
6,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0006_01_a,p0386_grea_b1_f1_0006_01_a.tif,,,,,1,1,,,,p0386,,,,,
6,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0006_01_a,p0386_grea_b1_f1_0006_01_a.tif,,,,,1,1,,,,p0386,,,,,
7,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0007_01_a,p0386_grea_b1_f1_0007_01_a.tif,,,,,1,1,,,,p0386,,,,,
7,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0007_01_a,p0386_grea_b1_f1_0007_01_a.tif,,,,,1,1,,,,p0386,,,,,
8,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0008_01_a,p0386_grea_b1_f1_0008_01_a.tif,,,,,1,1,,,,p0386,,,,,
8,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0008_01_a,p0386_grea_b1_f1_0008_01_a.tif,,,,,1,1,,,,p0386,,,,,
9,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0009_01_a,p0386_grea_b1_f1_0009_01_a.tif,,,,,1,1,,,,p0386,,,,,
9,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0009_01_a,p0386_grea_b1_f1_0009_01_a.tif,,,,,1,1,,,,p0386,,,,,
10,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0010_01_a,p0386_grea_b1_f1_0010_01_a.tif,,,,,1,1,,,,p0386,,,,,
10,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0010_01_a,p0386_grea_b1_f1_0010_01_a.tif,,,,,1,1,,,,p0386,,,,,
11,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0011_01_a,p0386_grea_b1_f1_0011_01_a.tif,,,,,1,1,,,,p0386,,,,,
11,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0011_01_a,p0386_grea_b1_f1_0011_01_a.tif,,,,,1,1,,,,p0386,,,,,
12,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0012_01_a,p0386_grea_b1_f1_0012_01_a.tif,,,,,1,1,,,,p0386,,,,,
12,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0012_01_a,p0386_grea_b1_f1_0012_01_a.tif,,,,,1,1,,,,p0386,,,,,
13,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0013_01_a,p0386_grea_b1_f1_0013_01_a.tif,,,,,1,1,,,,p0386,,,,,
13,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0013_01_a,p0386_grea_b1_f1_0013_01_a.tif,,,,,1,1,,,,p0386,,,,,
14,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0014_01_a,p0386_grea_b1_f1_0014_01_a.tif,,,,,1,1,,,,p0386,,,,,
14,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0014_01_a,p0386_grea_b1_f1_0014_01_a.tif,,,,,1,1,,,,p0386,,,,,
15,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0015_01_a,p0386_grea_b1_f1_0015_01_a.tif,,,,,1,1,,,,p0386,,,,,
15,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0015_01_a,p0386_grea_b1_f1_0015_01_a.tif,,,,,1,1,,,,p0386,,,,,
16,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0016_01_a,p0386_grea_b1_f1_0016_01_a.tif,,,,,1,1,,,,p0386,,,,,
16,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0016_01_a,p0386_grea_b1_f1_0016_01_a.tif,,,,,1,1,,,,p0386,,,,,
17,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0017_01_a,p0386_grea_b1_f1_0017_01_a.tif,,,,,1,1,,,,p0386,,,,,
17,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0017_01_a,p0386_grea_b1_f1_0017_01_a.tif,,,,,1,1,,,,p0386,,,,,
18,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0018_01_a,p0386_grea_b1_f1_0018_01_a.tif,,,,,1,1,,,,p0386,,,,,
18,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0018_01_a,p0386_grea_b1_f1_0018_01_a.tif,,,,,1,1,,,,p0386,,,,,
19,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0019_01_a,p0386_grea_b1_f1_0019_01_a.tif,,,,,1,1,,,,p0386,,,,,
19,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0019_01_a,p0386_grea_b1_f1_0019_01_a.tif,,,,,1,1,,,,p0386,,,,,
20,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0020_01_a,p0386_grea_b1_f1_0020_01_a.tif,,,,,1,1,,,,p0386,,,,,
20,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0020_01_a,p0386_grea_b1_f1_0020_01_a.tif,,,,,1,1,,,,p0386,,,,,
21,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0021_01_a,p0386_grea_b1_f1_0021_01_a.tif,,,,,1,1,,,,p0386,,,,,
21,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0021_01_a,p0386_grea_b1_f1_0021_01_a.tif,,,,,1,1,,,,p0386,,,,,
22,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0022_01_a,p0386_grea_b1_f1_0022_01_a.tif,,,,,1,1,,,,p0386,,,,,
22,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0022_01_a,p0386_grea_b1_f1_0022_01_a.tif,,,,,1,1,,,,p0386,,,,,
23,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0023_01_a,p0386_grea_b1_f1_0023_01_a.tif,,,,,1,1,,,,p0386,,,,,
23,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0023_01_a,p0386_grea_b1_f1_0023_01_a.tif,,,,,1,1,,,,p0386,,,,,
24,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0024_01_a,p0386_grea_b1_f1_0024_01_a.tif,,,,,1,1,,,,p0386,,,,,
24,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0024_01_a,p0386_grea_b1_f1_0024_01_a.tif,,,,,1,1,,,,p0386,,,,,
25,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0025_01_a,p0386_grea_b1_f1_0025_01_a.tif,,,,,1,1,,,,p0386,,,,,
25,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0025_01_a,p0386_grea_b1_f1_0025_01_a.tif,,,,,1,1,,,,p0386,,,,,
26,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_0026_01_a,p0386_grea_b1_f1_0026_01_a.tif,,,,,1,1,,,,p0386,,,,,
